ds,Airports,Class,y
7/10/1989,ADL-PER,Business,193
7/17/1989,ADL-PER,Business,254
7/24/1989,ADL-PER,Business,185
7/31/1989,ADL-PER,Business,254
8/7/1989,ADL-PER,Business,191
8/14/1989,ADL-PER,Business,136
8/21/1989,ADL-PER,Business,0
8/28/1989,ADL-PER,Business,0
9/4/1989,ADL-PER,Business,0
9/11/1989,ADL-PER,Business,0
9/18/1989,ADL-PER,Business,0
9/25/1989,ADL-PER,Business,0
10/2/1989,ADL-PER,Business,0
10/9/1989,ADL-PER,Business,0
10/16/1989,ADL-PER,Business,0
10/23/1989,ADL-PER,Business,23
10/30/1989,ADL-PER,Business,9
11/6/1989,ADL-PER,Business,0
11/13/1989,ADL-PER,Business,0
11/20/1989,ADL-PER,Business,0
11/27/1989,ADL-PER,Business,0
12/4/1989,ADL-PER,Business,28
12/11/1989,ADL-PER,Business,163
12/18/1989,ADL-PER,Business,68
12/25/1989,ADL-PER,Business,73
1/1/1990,ADL-PER,Business,120
1/8/1990,ADL-PER,Business,105
1/15/1990,ADL-PER,Business,119
1/22/1990,ADL-PER,Business,141
1/29/1990,ADL-PER,Business,176
2/5/1990,ADL-PER,Business,192
2/12/1990,ADL-PER,Business,192
2/19/1990,ADL-PER,Business,167
2/26/1990,ADL-PER,Business,191
3/5/1990,ADL-PER,Business,172
3/12/1990,ADL-PER,Business,268
3/19/1990,ADL-PER,Business,303
3/26/1990,ADL-PER,Business,279
4/2/1990,ADL-PER,Business,162
4/9/1990,ADL-PER,Business,166
4/16/1990,ADL-PER,Business,198
4/23/1990,ADL-PER,Business,249
4/30/1990,ADL-PER,Business,219
5/7/1990,ADL-PER,Business,195
5/14/1990,ADL-PER,Business,210
5/21/1990,ADL-PER,Business,202
5/28/1990,ADL-PER,Business,205
6/4/1990,ADL-PER,Business,182
6/11/1990,ADL-PER,Business,238
6/18/1990,ADL-PER,Business,172
6/25/1990,ADL-PER,Business,174
7/2/1990,ADL-PER,Business,208
7/9/1990,ADL-PER,Business,201
7/16/1990,ADL-PER,Business,218
7/23/1990,ADL-PER,Business,244
7/30/1990,ADL-PER,Business,231
8/6/1990,ADL-PER,Business,209
8/13/1990,ADL-PER,Business,228
8/20/1990,ADL-PER,Business,214
8/27/1990,ADL-PER,Business,228
9/3/1990,ADL-PER,Business,255
9/10/1990,ADL-PER,Business,247
9/17/1990,ADL-PER,Business,127
9/24/1990,ADL-PER,Business,222
10/1/1990,ADL-PER,Business,239
10/8/1990,ADL-PER,Business,270
10/15/1990,ADL-PER,Business,261
10/22/1990,ADL-PER,Business,238
10/29/1990,ADL-PER,Business,284
11/5/1990,ADL-PER,Business,267
11/12/1990,ADL-PER,Business,317
11/19/1990,ADL-PER,Business,275
11/26/1990,ADL-PER,Business,259
12/3/1990,ADL-PER,Business,203
12/10/1990,ADL-PER,Business,138
12/17/1990,ADL-PER,Business,52
12/24/1990,ADL-PER,Business,69
1/7/1991,ADL-PER,Business,108
1/14/1991,ADL-PER,Business,168
1/21/1991,ADL-PER,Business,138
1/28/1991,ADL-PER,Business,152
2/4/1991,ADL-PER,Business,217
2/11/1991,ADL-PER,Business,225
2/18/1991,ADL-PER,Business,264
2/25/1991,ADL-PER,Business,234
3/4/1991,ADL-PER,Business,222
3/11/1991,ADL-PER,Business,237
3/18/1991,ADL-PER,Business,280
3/25/1991,ADL-PER,Business,191
4/1/1991,ADL-PER,Business,169
4/8/1991,ADL-PER,Business,261
4/15/1991,ADL-PER,Business,268
4/22/1991,ADL-PER,Business,171
4/29/1991,ADL-PER,Business,273
5/6/1991,ADL-PER,Business,314
5/13/1991,ADL-PER,Business,234
5/20/1991,ADL-PER,Business,314
5/27/1991,ADL-PER,Business,235
6/3/1991,ADL-PER,Business,251
6/10/1991,ADL-PER,Business,232
6/17/1991,ADL-PER,Business,303
6/24/1991,ADL-PER,Business,246
7/1/1991,ADL-PER,Business,234
7/8/1991,ADL-PER,Business,215
7/15/1991,ADL-PER,Business,212
7/22/1991,ADL-PER,Business,243
7/29/1991,ADL-PER,Business,224
8/5/1991,ADL-PER,Business,258
8/12/1991,ADL-PER,Business,220
8/19/1991,ADL-PER,Business,222
8/26/1991,ADL-PER,Business,211
9/2/1991,ADL-PER,Business,241
9/9/1991,ADL-PER,Business,261
9/16/1991,ADL-PER,Business,249
9/23/1991,ADL-PER,Business,257
9/30/1991,ADL-PER,Business,220
10/7/1991,ADL-PER,Business,184
10/14/1991,ADL-PER,Business,221
10/21/1991,ADL-PER,Business,223
10/28/1991,ADL-PER,Business,206
11/4/1991,ADL-PER,Business,260
11/11/1991,ADL-PER,Business,270
11/18/1991,ADL-PER,Business,250
11/25/1991,ADL-PER,Business,260
12/2/1991,ADL-PER,Business,199
12/9/1991,ADL-PER,Business,177
12/16/1991,ADL-PER,Business,195
12/23/1991,ADL-PER,Business,60
12/30/1991,ADL-PER,Business,66
1/6/1992,ADL-PER,Business,138
1/13/1992,ADL-PER,Business,173
1/20/1992,ADL-PER,Business,142
1/27/1992,ADL-PER,Business,118
2/3/1992,ADL-PER,Business,269
2/10/1992,ADL-PER,Business,296
2/17/1992,ADL-PER,Business,259
2/24/1992,ADL-PER,Business,314
3/2/1992,ADL-PER,Business,255
3/9/1992,ADL-PER,Business,282
3/16/1992,ADL-PER,Business,290
3/23/1992,ADL-PER,Business,713
3/30/1992,ADL-PER,Business,910
4/6/1992,ADL-PER,Business,1015
4/13/1992,ADL-PER,Business,844
4/20/1992,ADL-PER,Business,718
4/27/1992,ADL-PER,Business,911
5/4/1992,ADL-PER,Business,890
5/11/1992,ADL-PER,Business,933
5/18/1992,ADL-PER,Business,901
5/25/1992,ADL-PER,Business,875
6/1/1992,ADL-PER,Business,666
6/8/1992,ADL-PER,Business,624
6/15/1992,ADL-PER,Business,619
6/22/1992,ADL-PER,Business,517
6/29/1992,ADL-PER,Business,436
7/6/1992,ADL-PER,Business,424
7/13/1992,ADL-PER,Business,363
7/20/1992,ADL-PER,Business,386
7/27/1992,ADL-PER,Business,398
8/3/1992,ADL-PER,Business,394
8/10/1992,ADL-PER,Business,397
8/17/1992,ADL-PER,Business,342
8/24/1992,ADL-PER,Business,414
8/31/1992,ADL-PER,Business,406
9/7/1992,ADL-PER,Business,394
9/14/1992,ADL-PER,Business,420
9/21/1992,ADL-PER,Business,331
9/28/1992,ADL-PER,Business,338
10/5/1992,ADL-PER,Business,325
10/12/1992,ADL-PER,Business,459
10/19/1992,ADL-PER,Business,464
10/26/1992,ADL-PER,Business,388
11/2/1992,ADL-PER,Business,342
11/9/1992,ADL-PER,Business,484
11/16/1992,ADL-PER,Business,428
11/23/1992,ADL-PER,Business,404
6/29/1987,ADL-PER,Economy,2084
7/6/1987,ADL-PER,Economy,2186
7/13/1987,ADL-PER,Economy,2137
7/20/1987,ADL-PER,Economy,2090
7/27/1987,ADL-PER,Economy,1595
8/3/1987,ADL-PER,Economy,1908
8/10/1987,ADL-PER,Economy,1778
8/17/1987,ADL-PER,Economy,1931
8/24/1987,ADL-PER,Economy,2062
8/31/1987,ADL-PER,Economy,2062
9/7/1987,ADL-PER,Economy,1976
9/14/1987,ADL-PER,Economy,1743
9/21/1987,ADL-PER,Economy,2635
9/28/1987,ADL-PER,Economy,2532
10/5/1987,ADL-PER,Economy,2390
10/12/1987,ADL-PER,Economy,2620
10/19/1987,ADL-PER,Economy,2314
10/26/1987,ADL-PER,Economy,2208
11/2/1987,ADL-PER,Economy,2039
11/9/1987,ADL-PER,Economy,2392
11/16/1987,ADL-PER,Economy,2838
11/23/1987,ADL-PER,Economy,2134
11/30/1987,ADL-PER,Economy,1957
12/7/1987,ADL-PER,Economy,2152
12/14/1987,ADL-PER,Economy,2584
12/21/1987,ADL-PER,Economy,2611
12/28/1987,ADL-PER,Economy,2245
1/4/1988,ADL-PER,Economy,2753
1/4/1988,ADL-PER,Economy,2666
1/11/1988,ADL-PER,Economy,2204
